PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2016;2017;2018;2019;2020
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;man;32;35;31;24;25
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34396;B Chemie;voltijd onderwijs;vrouw;17;18;14;13;13
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;man;14;23;23;28;29
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34397;B Biologie en Medisch Laboratoriumonderzoek;voltijd onderwijs;vrouw;23;25;27;34;40
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;man;43;46;50;42;37
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34475;B Technische Informatica;voltijd onderwijs;vrouw;1;2;3;1;2
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;man;273;268;296;260;247
Drenthe;0114;Emmen;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;techniek;n.v.t. (techniek);34479;B Informatica;voltijd onderwijs;vrouw;25;26;24;22;21
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;man;42;41;35;24;16
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;vrouw;169;131;111;93;63
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;man;12;23;48;52;49
Drenthe;0119;Meppel;reguliere inst.;bachelor;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;35514;B International Teacher Education for Primary Schools (ITEps);voltijd onderwijs;vrouw;59;168;240;320;363
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;man;9;18;23;23;29
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;vrouw;51;94;113;116;97
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;man;51;71;73;78;88
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;vrouw;26;39;53;55;46
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;man;0;12;56;92;107
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;vrouw;0;3;15;31;26
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;man;0;0;19;50;53
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;vrouw;0;0;9;25;27
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;man;0;0;4;7;7
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;vrouw;0;0;10;35;45
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;man;0;0;1;2;4
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;vrouw;0;0;20;50;47
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;man;16;39;50;48;60
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;vrouw;2;4;4;10;9
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;man;0;76;109;117;127
Flevoland;0034;Almere;reguliere inst.;associate degree;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;vrouw;0;6;9;18;22
