PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2016;2017;2018;2019;2020
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;vrouw;9;8;14;17;13
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30038;B Ruimtelijke Ontwikkeling;voltijd onderwijs;man;9;14;12;9;12
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30038;B Ruimtelijke Ontwikkeling;voltijd onderwijs;vrouw;2;4;0;3;2
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30107;B Engineering;voltijd onderwijs;man;48;32;36;24;18
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30107;B Engineering;voltijd onderwijs;vrouw;5;7;4;0;4
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;duaal onderwijs;man;0;5;5;9;3
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;duaal onderwijs;vrouw;0;0;1;2;2
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;man;13;15;14;22;15
Flevoland;0034;Almere;reguliere inst.;bachelor;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;vrouw;2;7;8;12;14
Flevoland;0034;Almere;reguliere inst.;bachelor;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30009;B Toegepaste Biologie;voltijd onderwijs;man;45;51;47;67;54
