PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2015;2016;2017;2018;2019
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;hbo bachelor;vrouw;11;9;15;16;17
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;man;3;6;17;8;20
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;vrouw;0;3;2;6;10
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;hbo bachelor;man;0;0;0;0;1
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;hbo bachelor;vrouw;0;0;0;0;10
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;hbo associate degree;man;0;1;5;4;7
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80007;Ad Officemanagement;voltijd onderwijs;hbo associate degree;vrouw;0;8;27;35;44
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;hbo associate degree;man;0;2;12;11;13
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;hbo associate degree;vrouw;0;1;5;6;13
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;hbo associate degree;man;0;0;0;3;24
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;hbo associate degree;vrouw;0;0;0;0;9
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;hbo associate degree;man;0;0;0;0;9
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;hbo associate degree;vrouw;0;0;0;0;3
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;hbo bachelor;man;2;4;6;11;5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;hbo bachelor;vrouw;31;61;56;37;43
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;hbo associate degree;man;0;0;0;0;1
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;hbo associate degree;vrouw;0;0;0;0;1
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;hbo bachelor;vrouw;0;0;0;0;2
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;hbo bachelor;man;1;1;3;6;7
